"Tabela 1613 - Área destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras permanentes"
"Variável - Quantidade produzida (Toneladas)"
"Município";"Ano x Produto das lavouras permanentes"
"Município";"2024"
"Município";"Abacate";"Algodão arbóreo (em caroço)";"Açaí";"Azeitona";"Banana (cacho)";"Borracha (látex coagulado)";"Borracha (látex líquido)";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Caqui";"Castanha de caju";"Chá-da-índia (folha verde)";"Coco-da-baía*";"Dendê (cacho de coco)";"Erva-mate (folha verde)";"Figo";"Goiaba";"Guaraná (semente)";"Laranja";"Limão";"Maçã";"Mamão";"Manga";"Maracujá";"Marmelo";"Noz (fruto seco)";"Palmito";"Pera";"Pêssego";"Pimenta-do-reino";"Sisal ou agave (fibra)";"Tangerina";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"Alta Floresta D'Oeste (RO)";"-";"-";"30";"-";"1590";"-";"...";"34";"15362";"-";"15362";"...";"-";"-";"-";"80";"-";"-";"-";"26";"-";"60";"49";"-";"55";"-";"48";"-";"-";"-";"-";"-";"2";"-";"-";"-";"2";"-"
"Ariquemes (RO)";"-";"-";"55";"-";"1870";"-";"...";"324";"1049";"-";"1049";"...";"-";"-";"-";"60";"-";"-";"-";"32";"2";"60";"40";"-";"60";"-";"151";"-";"-";"-";"-";"-";"-";"-";"-";"-";"30";"-"
"Cabixi (RO)";"-";"-";"-";"-";"283";"-";"...";"6";"72";"-";"72";"...";"-";"-";"-";"18";"-";"-";"-";"-";"-";"13";"14";"-";"-";"-";"10";"-";"-";"-";"-";"-";"-";"-";"18";"-";"117";"-"
"Cacoal (RO)";"-";"-";"-";"-";"3960";"-";"...";"48";"17664";"-";"17664";"...";"-";"-";"-";"95";"-";"-";"-";"109";"2";"749";"338";"-";"1581";"-";"114";"-";"-";"-";"-";"-";"12";"-";"40";"-";"2";"-"
"Cerejeiras (RO)";"-";"-";"-";"-";"120";"-";"...";"1";"100";"-";"100";"...";"-";"-";"-";"16";"-";"-";"-";"-";"-";"-";"16";"-";"15";"-";"11";"-";"-";"-";"-";"-";"-";"-";"-";"-";"33";"-"
"Colorado do Oeste (RO)";"-";"-";"-";"-";"451";"-";"...";"22";"84";"-";"84";"...";"-";"-";"-";"24";"-";"-";"-";"28";"-";"12";"16";"-";"30";"-";"20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"9";"-"
"Corumbiara (RO)";"12";"-";"-";"-";"184";"-";"...";"1";"50";"-";"50";"...";"-";"-";"-";"8";"-";"-";"-";"25";"-";"24";"8";"-";"8";"-";"29";"-";"-";"-";"-";"-";"-";"-";"12";"-";"7";"-"
"Costa Marques (RO)";"-";"-";"34";"-";"510";"-";"...";"8";"581";"-";"581";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"456";"8";"-";"60";"-";"45";"-";"-";"-";"-";"-";"-";"-";"41";"-";"100";"-"
"Espigão D'Oeste (RO)";"-";"-";"-";"-";"603";"-";"...";"2";"2148";"-";"2148";"...";"-";"-";"-";"50";"-";"-";"-";"-";"-";"-";"19";"-";"48";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Guajará-Mirim (RO)";"-";"-";"23";"-";"260";"-";"...";"-";"185";"-";"185";"...";"-";"-";"-";"36";"-";"-";"-";"-";"-";"8";"77";"-";"61";"-";"20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"11";"-"
"Jaru (RO)";"-";"-";"15";"-";"2080";"-";"...";"2455";"596";"-";"596";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"59";"41";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ji-Paraná (RO)";"-";"-";"16";"-";"86";"-";"...";"104";"274";"-";"274";"...";"-";"-";"-";"54";"-";"-";"-";"48";"-";"54";"234";"-";"80";"20";"93";"-";"-";"-";"-";"-";"4";"-";"-";"-";"4";"-"
"Machadinho D'Oeste (RO)";"-";"-";"-";"-";"5194";"-";"...";"557";"4776";"-";"4776";"...";"-";"-";"-";"-";"-";"-";"-";"-";"20";"70";"85";"-";"-";"-";"56";"-";"-";"-";"-";"-";"3";"-";"44";"-";"6";"-"
"Nova Brasilândia D'Oeste (RO)";"-";"-";"6";"-";"320";"-";"...";"10";"27683";"-";"27683";"...";"-";"-";"-";"16";"-";"-";"-";"18";"-";"-";"7";"-";"40";"-";"57";"-";"-";"30";"-";"-";"2";"-";"-";"-";"3";"-"
"Ouro Preto do Oeste (RO)";"-";"-";"16";"-";"638";"-";"...";"1720";"1104";"-";"1104";"...";"-";"-";"-";"95";"-";"-";"-";"-";"-";"80";"8";"-";"24";"-";"32";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pimenta Bueno (RO)";"-";"-";"40";"-";"650";"-";"...";"2";"540";"-";"540";"...";"-";"-";"-";"65";"-";"-";"-";"-";"-";"195";"77";"-";"50";"-";"40";"-";"-";"-";"-";"-";"-";"-";"30";"-";"3";"-"
"Porto Velho (RO)";"-";"-";"1030";"-";"22867";"-";"...";"149";"6837";"-";"6837";"...";"-";"-";"-";"1050";"-";"-";"-";"97";"1";"112";"1115";"-";"510";"-";"224";"-";"-";"-";"-";"-";"11";"-";"100";"-";"25";"-"
"Presidente Médici (RO)";"-";"-";"-";"-";"463";"-";"...";"25";"1064";"-";"1064";"...";"-";"-";"-";"-";"-";"-";"-";"44";"-";"145";"160";"-";"180";"-";"704";"-";"-";"-";"-";"-";"-";"-";"65";"-";"7";"14"
"Rio Crespo (RO)";"-";"-";"-";"-";"450";"-";"...";"7";"331";"-";"331";"...";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"79";"-"
"Rolim de Moura (RO)";"-";"-";"54";"-";"1114";"-";"...";"28";"5451";"-";"5451";"...";"-";"-";"-";"160";"-";"-";"-";"33";"4";"850";"42";"-";"505";"-";"138";"-";"-";"-";"-";"-";"5";"-";"-";"-";"-";"-"
"Santa Luzia D'Oeste (RO)";"-";"-";"-";"-";"675";"-";"...";"8";"2464";"-";"2464";"...";"-";"-";"-";"18";"-";"-";"-";"16";"-";"30";"7";"-";"14";"-";"31";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Vilhena (RO)";"-";"-";"-";"-";"96";"-";"...";"3";"104";"-";"104";"...";"-";"-";"-";"16";"-";"-";"-";"18";"-";"72";"24";"-";"48";"-";"10";"-";"-";"-";"-";"-";"-";"-";"12";"-";"2";"-"
"São Miguel do Guaporé (RO)";"-";"-";"32";"-";"221";"-";"...";"22";"16094";"-";"16094";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"16";"90";"-";"13";"-";"36";"-";"-";"-";"-";"-";"6";"-";"-";"-";"5";"-"
"Nova Mamoré (RO)";"74";"-";"23";"-";"1628";"-";"...";"10";"615";"-";"615";"...";"-";"-";"-";"13";"-";"-";"-";"107";"-";"64";"68";"-";"113";"48";"20";"-";"-";"-";"-";"-";"-";"-";"24";"-";"2";"-"
"Alvorada D'Oeste (RO)";"-";"-";"-";"-";"90";"-";"...";"10";"5394";"-";"5394";"...";"-";"-";"-";"-";"-";"-";"-";"30";"-";"32";"16";"-";"-";"-";"14";"-";"-";"-";"-";"-";"2";"-";"-";"-";"3";"-"
"Alto Alegre dos Parecis (RO)";"-";"-";"-";"-";"578";"-";"...";"4";"15351";"-";"15351";"...";"-";"-";"-";"18";"-";"-";"-";"117";"-";"8";"80";"-";"50";"-";"52";"-";"-";"-";"-";"-";"22";"-";"-";"-";"1";"-"
"Alto Paraíso (RO)";"-";"-";"50";"-";"3500";"-";"...";"2";"959";"-";"959";"...";"-";"-";"-";"40";"-";"-";"-";"32";"7";"56";"53";"-";"130";"-";"27";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Buritis (RO)";"-";"-";"480";"-";"11000";"-";"...";"707";"10635";"-";"10635";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"84";"50";"-";"120";"-";"62";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Novo Horizonte do Oeste (RO)";"-";"-";"63";"-";"337";"-";"...";"3";"5980";"-";"5980";"...";"-";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"150";"-";"-";"-";"-";"-";"1";"-";"10";"-";"1";"-"
"Cacaulândia (RO)";"-";"-";"48";"-";"570";"-";"...";"268";"58";"-";"58";"...";"-";"-";"-";"80";"-";"-";"-";"-";"-";"68";"24";"-";"32";"-";"17";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"-"
"Campo Novo de Rondônia (RO)";"-";"-";"24";"-";"2925";"-";"...";"320";"837";"-";"837";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"60";"-";"-";"18";"-";"18";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Candeias do Jamari (RO)";"-";"-";"268";"-";"2400";"-";"...";"30";"837";"-";"837";"...";"-";"-";"-";"89";"-";"-";"-";"-";"7";"41";"255";"-";"127";"-";"84";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6";"-"
"Castanheiras (RO)";"-";"-";"-";"-";"279";"-";"...";"1";"345";"-";"345";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"18";"-";"24";"-";"91";"-";"-";"-";"-";"-";"2";"-";"-";"-";"3";"-"
"Chupinguaia (RO)";"-";"-";"-";"-";"142";"-";"...";"1";"109";"-";"109";"...";"-";"-";"-";"16";"-";"-";"-";"-";"-";"36";"32";"-";"30";"-";"60";"-";"-";"-";"-";"-";"-";"-";"14";"-";"39";"-"
"Cujubim (RO)";"-";"-";"24";"-";"555";"-";"...";"18";"910";"-";"910";"...";"-";"-";"-";"-";"-";"-";"-";"-";"4";"110";"10";"-";"16";"-";"13";"-";"-";"-";"-";"-";"-";"-";"12";"-";"31";"-"
"Governador Jorge Teixeira (RO)";"-";"-";"-";"-";"2212";"-";"...";"735";"954";"-";"954";"...";"-";"-";"-";"18";"-";"-";"-";"21";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itapuã do Oeste (RO)";"-";"-";"154";"-";"184";"-";"...";"8";"102";"-";"102";"...";"-";"-";"-";"69";"-";"-";"-";"-";"1";"90";"48";"-";"-";"-";"44";"-";"-";"54";"-";"-";"-";"-";"-";"-";"1";"-"
"Ministro Andreazza (RO)";"-";"-";"-";"-";"1066";"-";"...";"8";"5235";"-";"5235";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"63";"42";"-";"300";"-";"27";"-";"-";"-";"-";"-";"-";"-";"240";"-";"-";"-"
"Mirante da Serra (RO)";"-";"-";"16";"-";"149";"-";"...";"114";"1920";"-";"1920";"...";"-";"-";"-";"18";"-";"-";"-";"-";"-";"15";"25";"-";"30";"-";"16";"-";"-";"-";"-";"-";"4";"-";"-";"-";"-";"-"
"Monte Negro (RO)";"-";"-";"-";"-";"5270";"-";"...";"283";"701";"-";"701";"...";"-";"-";"-";"60";"-";"-";"-";"-";"-";"67";"34";"-";"90";"-";"59";"-";"-";"-";"-";"-";"-";"-";"22";"-";"-";"-"
"Nova União (RO)";"-";"-";"84";"-";"370";"-";"...";"161";"362";"-";"362";"...";"-";"-";"-";"-";"-";"-";"-";"36";"-";"-";"-";"-";"-";"20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Parecis (RO)";"-";"-";"-";"-";"186";"-";"...";"1";"1512";"-";"1512";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"21";"-";"-";"16";"-";"45";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pimenteiras do Oeste (RO)";"-";"-";"-";"-";"40";"-";"...";"2";"39";"-";"39";"...";"-";"-";"-";"32";"-";"-";"-";"-";"-";"12";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"15";"-";"1";"-"
"Primavera de Rondônia (RO)";"-";"-";"24";"-";"122";"-";"...";"1";"590";"-";"590";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"52";"16";"-";"35";"-";"-";"-";"-";"-";"-";"-";"4";"-";"12";"-";"-";"-"
"São Felipe D'Oeste (RO)";"-";"-";"-";"-";"1132";"-";"...";"42";"780";"-";"780";"...";"-";"-";"-";"-";"-";"-";"-";"22";"-";"42";"-";"-";"66";"-";"24";"-";"-";"-";"-";"-";"4";"-";"16";"-";"24";"-"
"São Francisco do Guaporé (RO)";"-";"-";"6";"-";"360";"-";"...";"2";"3217";"-";"3217";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"8";"16";"-";"-";"-";"12";"-";"-";"-";"-";"-";"6";"-";"-";"-";"100";"-"
"Seringueiras (RO)";"-";"-";"-";"-";"170";"-";"...";"17";"5003";"-";"5003";"...";"-";"-";"-";"36";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"695";"-";"-";"-";"-";"-";"6";"-";"-";"-";"64";"-"
"Teixeirópolis (RO)";"-";"-";"-";"-";"50";"-";"...";"109";"124";"-";"124";"...";"-";"-";"-";"40";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"9";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Theobroma (RO)";"-";"-";"-";"-";"1200";"-";"...";"169";"1248";"-";"1248";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"76";"-";"-";"-";"-";"-";"-";"-";"-";"-";"39";"-"
"Urupá (RO)";"-";"-";"-";"-";"109";"-";"...";"93";"358";"-";"358";"...";"-";"-";"-";"18";"-";"-";"-";"8";"-";"-";"10";"-";"30";"-";"16";"-";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-"
