"Tabela 1613 - Área destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras permanentes"
"Variável - Valor da produção (Mil Reais)"
"Município";"Ano x Produto das lavouras permanentes"
"Município";"2024"
"Município";"Abacate";"Algodão arbóreo (em caroço)";"Açaí";"Azeitona";"Banana (cacho)";"Borracha (látex coagulado)";"Borracha (látex líquido)";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Caqui";"Castanha de caju";"Chá-da-índia (folha verde)";"Coco-da-baía*";"Dendê (cacho de coco)";"Erva-mate (folha verde)";"Figo";"Goiaba";"Guaraná (semente)";"Laranja";"Limão";"Maçã";"Mamão";"Manga";"Maracujá";"Marmelo";"Noz (fruto seco)";"Palmito";"Pera";"Pêssego";"Pimenta-do-reino";"Sisal ou agave (fibra)";"Tangerina";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"Alta Floresta D'Oeste (RO)";"-";"-";"75";"-";"4060";"-";"...";"1419";"261745";"-";"261745";"...";"-";"-";"-";"200";"-";"-";"-";"83";"-";"129";"195";"-";"136";"-";"224";"-";"-";"-";"-";"-";"24";"-";"-";"-";"27";"-"
"Ariquemes (RO)";"-";"-";"253";"-";"7180";"-";"...";"14254";"16530";"-";"16530";"...";"-";"-";"-";"120";"-";"-";"-";"128";"80";"147";"143";"-";"195";"-";"793";"-";"-";"-";"-";"-";"-";"-";"-";"-";"390";"-"
"Cabixi (RO)";"-";"-";"-";"-";"1029";"-";"...";"286";"1257";"-";"1257";"...";"-";"-";"-";"23";"-";"-";"-";"-";"-";"27";"34";"-";"-";"-";"55";"-";"-";"-";"-";"-";"-";"-";"41";"-";"1131";"-"
"Cacoal (RO)";"-";"-";"-";"-";"14071";"-";"...";"2550";"299228";"-";"299228";"...";"-";"-";"-";"151";"-";"-";"-";"349";"80";"1610";"1345";"-";"3905";"-";"532";"-";"-";"-";"-";"-";"144";"-";"106";"-";"27";"-"
"Cerejeiras (RO)";"-";"-";"-";"-";"449";"-";"...";"48";"1771";"-";"1771";"...";"-";"-";"-";"48";"-";"-";"-";"-";"-";"-";"55";"-";"47";"-";"60";"-";"-";"-";"-";"-";"-";"-";"-";"-";"292";"-"
"Colorado do Oeste (RO)";"-";"-";"-";"-";"1579";"-";"...";"1061";"1478";"-";"1478";"...";"-";"-";"-";"36";"-";"-";"-";"88";"-";"25";"44";"-";"93";"-";"97";"-";"-";"-";"-";"-";"-";"-";"-";"-";"72";"-"
"Corumbiara (RO)";"37";"-";"-";"-";"644";"-";"...";"48";"830";"-";"830";"...";"-";"-";"-";"12";"-";"-";"-";"78";"-";"50";"22";"-";"17";"-";"136";"-";"-";"-";"-";"-";"-";"-";"24";"-";"56";"-"
"Costa Marques (RO)";"-";"-";"122";"-";"1634";"-";"...";"311";"10119";"-";"10119";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1003";"20";"-";"132";"-";"236";"-";"-";"-";"-";"-";"-";"-";"93";"-";"1425";"-"
"Espigão D'Oeste (RO)";"-";"-";"-";"-";"2274";"-";"...";"102";"36752";"-";"36752";"...";"-";"-";"-";"80";"-";"-";"-";"-";"-";"-";"75";"-";"134";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Guajará-Mirim (RO)";"-";"-";"74";"-";"968";"-";"...";"-";"4391";"-";"4391";"...";"-";"-";"-";"74";"-";"-";"-";"-";"-";"23";"263";"-";"148";"-";"109";"-";"-";"-";"-";"-";"-";"-";"-";"-";"160";"-"
