"Tabela 1613 - Área destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras permanentes"
"Variável - Área destinada à colheita (Hectares)"
"Município";"Ano x Produto das lavouras permanentes"
"Município";"2024"
"Município";"Abacate";"Algodão arbóreo (em caroço)";"Açaí";"Azeitona";"Banana (cacho)";"Borracha (látex coagulado)";"Borracha (látex líquido)";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Caqui";"Castanha de caju";"Chá-da-índia (folha verde)";"Coco-da-baía*";"Dendê (cacho de coco)";"Erva-mate (folha verde)";"Figo";"Goiaba";"Guaraná (semente)";"Laranja";"Limão";"Maçã";"Mamão";"Manga";"Maracujá";"Marmelo";"Noz (fruto seco)";"Palmito";"Pera";"Pêssego";"Pimenta-do-reino";"Sisal ou agave (fibra)";"Tangerina";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"Alta Floresta D'Oeste (RO)";"-";"-";"5";"-";"146";"-";"...";"57";"4055";"-";"4055";"...";"-";"-";"-";"5";"-";"-";"-";"3";"-";"5";"9";"-";"4";"-";"6";"-";"-";"-";"-";"-";"1";"-";"-";"-";"3";"-"
"Ariquemes (RO)";"-";"-";"6";"-";"185";"-";"...";"275";"370";"-";"370";"...";"-";"-";"-";"6";"-";"-";"-";"4";"2";"8";"8";"-";"4";"-";"18";"-";"-";"-";"-";"-";"-";"-";"-";"-";"30";"-"
"Cabixi (RO)";"-";"-";"-";"-";"34";"-";"...";"9";"24";"-";"24";"...";"-";"-";"-";"1";"-";"-";"-";"-";"-";"1";"2";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"2";"-";"100";"-"
"Cacoal (RO)";"-";"-";"-";"-";"450";"-";"...";"105";"4990";"-";"4990";"...";"-";"-";"-";"8";"-";"-";"-";"12";"3";"55";"38";"-";"115";"-";"11";"-";"-";"-";"-";"-";"6";"-";"5";"-";"2";"-"
"Cerejeiras (RO)";"-";"-";"-";"-";"15";"-";"...";"4";"29";"-";"29";"...";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"2";"-";"1";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"20";"-"
"Colorado do Oeste (RO)";"-";"-";"-";"-";"60";"-";"...";"40";"35";"-";"35";"...";"-";"-";"-";"3";"-";"-";"-";"3";"-";"1";"2";"-";"2";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"10";"-"
"Corumbiara (RO)";"1";"-";"-";"-";"23";"-";"...";"4";"25";"-";"25";"...";"-";"-";"-";"1";"-";"-";"-";"3";"-";"2";"1";"-";"1";"-";"3";"-";"-";"-";"-";"-";"-";"-";"2";"-";"5";"-"
"Costa Marques (RO)";"-";"-";"5";"-";"64";"-";"...";"5";"185";"-";"185";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"35";"1";"-";"4";"-";"5";"-";"-";"-";"-";"-";"-";"-";"5";"-";"100";"-"
"Espigão D'Oeste (RO)";"-";"-";"-";"-";"65";"-";"...";"5";"580";"-";"580";"...";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"2";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Guajará-Mirim (RO)";"-";"-";"6";"-";"30";"-";"...";"-";"62";"-";"62";"...";"-";"-";"-";"3";"-";"-";"-";"-";"-";"1";"7";"-";"5";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"12";"-"
"Jaru (RO)";"-";"-";"2";"-";"140";"-";"...";"1470";"163";"-";"163";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Ji-Paraná (RO)";"-";"-";"2";"-";"10";"-";"...";"128";"72";"-";"72";"...";"-";"-";"-";"5";"-";"-";"-";"6";"-";"4";"18";"-";"4";"1";"10";"-";"-";"-";"-";"-";"2";"-";"-";"-";"3";"-"
"Machadinho D'Oeste (RO)";"-";"-";"-";"-";"261";"-";"...";"290";"1380";"-";"1380";"...";"-";"-";"-";"-";"-";"-";"-";"-";"30";"7";"12";"-";"-";"-";"8";"-";"-";"-";"-";"-";"2";"-";"8";"-";"5";"-"
"Nova Brasilândia D'Oeste (RO)";"-";"-";"1";"-";"50";"-";"...";"20";"6900";"-";"6900";"...";"-";"-";"-";"1";"-";"-";"-";"2";"-";"-";"1";"-";"3";"-";"5";"-";"-";"15";"-";"-";"1";"-";"-";"-";"3";"-"
"Ouro Preto do Oeste (RO)";"-";"-";"2";"-";"81";"-";"...";"1020";"440";"-";"440";"...";"-";"-";"-";"6";"-";"-";"-";"-";"-";"5";"1";"-";"2";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pimenta Bueno (RO)";"-";"-";"5";"-";"55";"-";"...";"5";"200";"-";"200";"...";"-";"-";"-";"8";"-";"-";"-";"-";"-";"15";"9";"-";"3";"-";"5";"-";"-";"-";"-";"-";"-";"-";"5";"-";"2";"-"
"Porto Velho (RO)";"-";"-";"125";"-";"2717";"-";"...";"298";"2595";"-";"2595";"...";"-";"-";"-";"100";"-";"-";"-";"7";"1";"10";"140";"-";"35";"-";"25";"-";"-";"-";"-";"-";"9";"-";"14";"-";"30";"-"
"Presidente Médici (RO)";"-";"-";"-";"-";"57";"-";"...";"37";"265";"-";"265";"...";"-";"-";"-";"-";"-";"-";"-";"5";"-";"20";"20";"-";"10";"-";"80";"-";"-";"-";"-";"-";"-";"-";"10";"-";"7";"2"
"Rio Crespo (RO)";"-";"-";"-";"-";"45";"-";"...";"19";"112";"-";"112";"...";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"74";"-"
"Rolim de Moura (RO)";"-";"-";"9";"-";"120";"-";"...";"70";"1420";"-";"1420";"...";"-";"-";"-";"10";"-";"-";"-";"3";"6";"60";"5";"-";"23";"-";"12";"-";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-"
"Santa Luzia D'Oeste (RO)";"-";"-";"-";"-";"50";"-";"...";"13";"700";"-";"700";"...";"-";"-";"-";"1";"-";"-";"-";"2";"-";"5";"1";"-";"1";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Vilhena (RO)";"-";"-";"-";"-";"5";"-";"...";"3";"38";"-";"38";"...";"-";"-";"-";"2";"-";"-";"-";"2";"-";"6";"3";"-";"4";"-";"1";"-";"-";"-";"-";"-";"-";"-";"2";"-";"2";"-"
"São Miguel do Guaporé (RO)";"-";"-";"4";"-";"24";"-";"...";"31";"4175";"-";"4175";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"12";"-";"1";"-";"4";"-";"-";"-";"-";"-";"3";"-";"-";"-";"5";"-"
"Nova Mamoré (RO)";"6";"-";"3";"-";"150";"-";"...";"18";"260";"-";"260";"...";"-";"-";"-";"1";"-";"-";"-";"6";"-";"5";"10";"-";"6";"4";"2";"-";"-";"-";"-";"-";"-";"-";"4";"-";"2";"-"
"Alvorada D'Oeste (RO)";"-";"-";"-";"-";"15";"-";"...";"10";"1290";"-";"1290";"...";"-";"-";"-";"-";"-";"-";"-";"3";"-";"3";"2";"-";"-";"-";"2";"-";"-";"-";"-";"-";"1";"-";"-";"-";"3";"-"
"Alto Alegre dos Parecis (RO)";"-";"-";"-";"-";"55";"-";"...";"7";"4088";"-";"4088";"...";"-";"-";"-";"1";"-";"-";"-";"12";"-";"1";"10";"-";"4";"-";"6";"-";"-";"-";"-";"-";"20";"-";"-";"-";"1";"-"
"Alto Paraíso (RO)";"-";"-";"5";"-";"250";"-";"...";"5";"344";"-";"344";"...";"-";"-";"-";"2";"-";"-";"-";"4";"11";"5";"6";"-";"7";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Buritis (RO)";"-";"-";"80";"-";"500";"-";"...";"450";"4450";"-";"4450";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"7";"8";"-";"6";"-";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Novo Horizonte do Oeste (RO)";"-";"-";"7";"-";"36";"-";"...";"6";"1630";"-";"1630";"...";"-";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"15";"-";"-";"-";"-";"-";"1";"-";"2";"-";"1";"-"
"Cacaulândia (RO)";"-";"-";"6";"-";"55";"-";"...";"425";"36";"-";"36";"...";"-";"-";"-";"5";"-";"-";"-";"-";"-";"5";"3";"-";"2";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-"
"Campo Novo de Rondônia (RO)";"-";"-";"3";"-";"195";"-";"...";"168";"430";"-";"430";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6";"-";"-";"3";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Candeias do Jamari (RO)";"-";"-";"35";"-";"200";"-";"...";"67";"197";"-";"197";"...";"-";"-";"-";"7";"-";"-";"-";"-";"6";"5";"25";"-";"8";"-";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5";"-"
"Castanheiras (RO)";"-";"-";"-";"-";"30";"-";"...";"4";"90";"-";"90";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-";"2";"-";"10";"-";"-";"-";"-";"-";"1";"-";"-";"-";"2";"-"
"Chupinguaia (RO)";"-";"-";"-";"-";"20";"-";"...";"2";"48";"-";"48";"...";"-";"-";"-";"2";"-";"-";"-";"-";"-";"3";"4";"-";"2";"-";"5";"-";"-";"-";"-";"-";"-";"-";"2";"-";"20";"-"
"Cujubim (RO)";"-";"-";"3";"-";"33";"-";"...";"15";"250";"-";"250";"...";"-";"-";"-";"-";"-";"-";"-";"-";"10";"10";"2";"-";"2";"-";"1";"-";"-";"-";"-";"-";"-";"-";"2";"-";"27";"-"
"Governador Jorge Teixeira (RO)";"-";"-";"-";"-";"158";"-";"...";"535";"270";"-";"270";"...";"-";"-";"-";"2";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Itapuã do Oeste (RO)";"-";"-";"20";"-";"23";"-";"...";"7";"39";"-";"39";"...";"-";"-";"-";"12";"-";"-";"-";"-";"1";"7";"4";"-";"-";"-";"4";"-";"-";"30";"-";"-";"-";"-";"-";"-";"1";"-"
"Ministro Andreazza (RO)";"-";"-";"-";"-";"110";"-";"...";"25";"1395";"-";"1395";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6";"7";"-";"25";"-";"3";"-";"-";"-";"-";"-";"-";"-";"29";"-";"-";"-"
"Mirante da Serra (RO)";"-";"-";"2";"-";"14";"-";"...";"85";"460";"-";"460";"...";"-";"-";"-";"1";"-";"-";"-";"-";"-";"2";"5";"-";"2";"-";"2";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-"
"Monte Negro (RO)";"-";"-";"-";"-";"310";"-";"...";"200";"212";"-";"212";"...";"-";"-";"-";"6";"-";"-";"-";"-";"-";"6";"5";"-";"6";"-";"6";"-";"-";"-";"-";"-";"-";"-";"3";"-";"-";"-"
"Nova União (RO)";"-";"-";"15";"-";"49";"-";"...";"264";"100";"-";"100";"...";"-";"-";"-";"-";"-";"-";"-";"4";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Parecis (RO)";"-";"-";"-";"-";"20";"-";"...";"2";"420";"-";"420";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-";"-";"1";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Pimenteiras do Oeste (RO)";"-";"-";"-";"-";"5";"-";"...";"1";"18";"-";"18";"...";"-";"-";"-";"4";"-";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-";"1";"-"
"Primavera de Rondônia (RO)";"-";"-";"4";"-";"13";"-";"...";"1";"180";"-";"180";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4";"2";"-";"2";"-";"-";"-";"-";"-";"-";"-";"2";"-";"2";"-";"-";"-"
"São Felipe D'Oeste (RO)";"-";"-";"-";"-";"124";"-";"...";"80";"207";"-";"207";"...";"-";"-";"-";"-";"-";"-";"-";"2";"-";"4";"-";"-";"3";"-";"3";"-";"-";"-";"-";"-";"3";"-";"2";"-";"15";"-"
"São Francisco do Guaporé (RO)";"-";"-";"1";"-";"45";"-";"...";"2";"783";"-";"783";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"2";"-";"-";"-";"1";"-";"-";"-";"-";"-";"3";"-";"-";"-";"100";"-"
"Seringueiras (RO)";"-";"-";"-";"-";"20";"-";"...";"42";"1321";"-";"1321";"...";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"70";"-";"-";"-";"-";"-";"4";"-";"-";"-";"80";"-"
"Teixeirópolis (RO)";"-";"-";"-";"-";"10";"-";"...";"65";"46";"-";"46";"...";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Theobroma (RO)";"-";"-";"-";"-";"100";"-";"...";"276";"320";"-";"320";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"7";"-";"-";"-";"-";"-";"-";"-";"-";"-";"35";"-"
"Urupá (RO)";"-";"-";"-";"-";"12";"-";"...";"96";"118";"-";"118";"...";"-";"-";"-";"1";"-";"-";"-";"1";"-";"-";"2";"-";"2";"-";"2";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-"
"Vale do Anari (RO)";"-";"-";"-";"-";"10";"-";"...";"50";"330";"-";"330";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-";"2";"-";"-";"-";"9";"-"
"Vale do Paraíso (RO)";"-";"-";"2";"-";"30";"-";"...";"70";"120";"-";"120";"...";"-";"-";"-";"3";"-";"-";"-";"-";"-";"2";"-";"-";"2";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Acrelândia (AC)";"-";"-";"17";"-";"1150";"48";"...";"-";"550";"-";"550";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"45";"30";"-";"-";"-";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"16";"-"
"Assis Brasil (AC)";"-";"-";"-";"-";"260";"4";"...";"-";"45";"-";"45";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Brasiléia (AC)";"-";"-";"-";"-";"190";"64";"...";"-";"80";"-";"80";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"10";"7";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Bujari (AC)";"-";"-";"70";"-";"200";"100";"...";"-";"4";"-";"4";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"25";"43";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Capixaba (AC)";"-";"-";"-";"-";"310";"70";"...";"-";"7";"-";"7";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"18";"13";"-";"-";"-";"90";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cruzeiro do Sul (AC)";"-";"-";"-";"-";"360";"-";"...";"-";"32";"-";"32";"...";"-";"-";"-";"25";"45";"-";"-";"-";"-";"20";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Epitaciolândia (AC)";"-";"-";"13";"-";"300";"30";"...";"-";"35";"-";"35";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"12";"7";"-";"-";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Feijó (AC)";"-";"-";"-";"-";"750";"-";"...";"-";"42";"-";"42";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"9";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jordão (AC)";"-";"-";"-";"-";"125";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Mâncio Lima (AC)";"-";"-";"-";"-";"70";"-";"...";"-";"75";"-";"75";"...";"-";"-";"-";"17";"-";"-";"-";"-";"-";"3";"5";"-";"-";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Manoel Urbano (AC)";"-";"-";"-";"-";"360";"-";"...";"-";"60";"-";"60";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"7";"14";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"12";"-"
"Marechal Thaumaturgo (AC)";"-";"-";"-";"-";"130";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"2";"-";"-";"-";"-";"-";"5";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Plácido de Castro (AC)";"-";"-";"30";"-";"350";"120";"...";"-";"45";"-";"45";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"70";"75";"-";"-";"-";"13";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Porto Walter (AC)";"-";"-";"-";"-";"150";"-";"...";"-";"9";"-";"9";"...";"-";"-";"-";"2";"-";"-";"-";"-";"-";"4";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Rio Branco (AC)";"-";"-";"-";"-";"550";"17";"...";"-";"5";"-";"5";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"30";"25";"-";"-";"-";"20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"10";"-"
"Rodrigues Alves (AC)";"-";"-";"-";"-";"85";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"20";"-";"-";"-";"-";"-";"5";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Santa Rosa do Purus (AC)";"-";"-";"-";"-";"170";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"-"
"Senador Guiomard (AC)";"-";"-";"-";"-";"270";"240";"...";"-";"40";"-";"40";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"25";"25";"-";"-";"-";"35";"-";"-";"25";"-";"-";"-";"-";"-";"-";"4";"-"
"Sena Madureira (AC)";"-";"-";"-";"-";"225";"76";"...";"-";"31";"-";"31";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"30";"20";"-";"-";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"-"
"Tarauacá (AC)";"-";"-";"-";"-";"750";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"14";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Xapuri (AC)";"-";"-";"-";"-";"230";"45";"...";"-";"40";"-";"40";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"10";"3";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Porto Acre (AC)";"-";"-";"-";"-";"650";"-";"...";"-";"15";"-";"15";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"32";"15";"-";"-";"-";"9";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-"
"Alvarães (AM)";"-";"-";"40";"-";"40";"-";"...";"2";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Amaturá (AM)";"1";"-";"7";"-";"190";"-";"...";"1";"-";"-";"-";"...";"-";"-";"-";"2";"-";"-";"-";"3";"-";"1";"1";"-";"3";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Anamã (AM)";"-";"-";"30";"-";"48";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"38";"-";"13";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Anori (AM)";"-";"-";"255";"-";"35";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"2";"-";"-";"1";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Apuí (AM)";"-";"-";"-";"-";"100";"-";"...";"50";"250";"-";"250";"...";"-";"-";"-";"10";"-";"-";"-";"-";"125";"15";"4";"-";"4";"-";"2";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-"
"Atalaia do Norte (AM)";"4";"-";"1";"-";"150";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"1";"-";"1";"3";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
